"","kingdom","phylum","class","order","family","genus","species"
"39","Animalia","Arthropoda","Insecta","Lepidoptera","Eupterotidae","Striphnopteryx","Striphnopteryx edulis"
"40","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Euproctis","Euproctis haemodetes"
"41","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Grammodes","Grammodes stolida"
"42","Animalia","Arthropoda","Insecta","Lepidoptera","Limacodidae","Deltoptera","Deltoptera iphia"
"43","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Acraea","Acraea cabira"
"44","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Achaea","Achaea catella"
"45","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Hemerophanes","Hemerophanes libyra"
"46","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Rhadinomphax","Rhadinomphax trimeni"
"47","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Terias",""
"48","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Laelia","Laelia fusca"
"49","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Anthemoctena","Anthemoctena textilis"
"50","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Cornutiplusia","Cornutiplusia circumflexa"
"51","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Epamera","Epamera mimosae"
"52","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Leptosia","Leptosia alcesta"
"53","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Diaphone","Diaphone eumela"
"54","Animalia","Arthropoda","Insecta","Lepidoptera","Euteliidae","Eutelia","Eutelia polychorda"
"55","Animalia","Arthropoda","Insecta","Lepidoptera","Eupterotidae","Poloma","Poloma angulata"
"56","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Pteredoa","Pteredoa monosticta"
"57","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Bracharoa","Bracharoa dregei"
"58","Animalia","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Streblote","Streblote cristata"
"59","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Zizula","Zizula hylax"
"60","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Achroia","Achroia grisella"
"61","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Laelia","Laelia clarki"
"62","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Durbania","Durbania limbata"
"63","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Capys","Capys alpheus"
"64","Animalia","Arthropoda","Insecta","Lepidoptera","Eupterotidae","Jana","Jana eurymas"
"65","Animalia","Arthropoda","Insecta","Lepidoptera","Nolidae","Maurilia","Maurilia arcuata"
"66","Animalia","Arthropoda","Insecta","Lepidoptera","Cossidae","Brachylia","Brachylia terebroides"
"67","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Cyligramma","Cyligramma latona"
"68","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Iambiodes","Iambiodes nyctostola"
"69","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Aroa","Aroa discalis"
"70","Animalia","Arthropoda","Insecta","Lepidoptera","Lasiocampidae","Bombycomorpha","Bombycomorpha pallida"
"71","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Eurema","Eurema hecabe"
"72","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Epitoxis","Epitoxis amazoula"
"73","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Argyrophora","Argyrophora trofonia"
"74","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Spialia","Spialia spio"
"75","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Antigastra","Antigastra morysalis"
"76","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Dasychira","Dicranuropsis vilis"
"77","Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Heniocha","Heniocha apollonia"
"78","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Euproctis","Euproctis crocata"
"79","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Stemmatophalera","Stemmatophalera curvilinea"
"80","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chiasmia","Chiasmia streniata"
"81","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Axiodes","Axiodes dochmoleuca"
"82","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Agrius","Agrius convolvuli"
"83","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Chlorissa","Chlorissa albistrigulata"
"84","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Dasychira","Dasychira proleprota"
"85","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Pseudonaclia","Pseudonaclia puella"
"86","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Cymaroa","Cymaroa grisea"
"87","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Euproctis","Knappetra fasciata"
"88","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Amata","Amata kuhlweini"
"89","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Herpetogramma","Herpetogramma mutualis"
"90","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Thyretes","Thyretes caffra"
"91","Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Nudaurelia","Nudaurelia cytherea"
"92","Animalia","Arthropoda","Insecta","Lepidoptera","Pyralidae","Lamoria","Lamoria imbella"
"93","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Rhodogastria","Rhodogastria amasis"
"94","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Crudaria","Crudaria leroma"
"95","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Ochropleura","Ochropleura leucogaster"
"96","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Acraea","Acraea rahira"
"97","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Leptotes","Leptotes pulchra"
"98","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Leucochlaena","Leucochlaena aenigma"
"99","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Thyretes","Thyretes hippotes"
"100","Animalia","Arthropoda","Insecta","Lepidoptera","Saturniidae","Gonimbrasia","Gonimbrasia tyrrhea"
"101","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Metisella","Metisella malgacha"
"102","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Spialia","Spialia mafa"
"103","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Zizeeria","Zizeeria knysna"
"104","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Acronicta","Acronicta transvalica"
"105","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Rhodometra","Rhodometra sacraria"
"106","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio ophidicephalus"
"107","Animalia","Arthropoda","Insecta","Lepidoptera","Eupterotidae","Phiala","Phiala pretoriana"
"108","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Theretra","Theretra capensis"
"109","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Colotis","Colotis vesta"
"110","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Charaxes","Charaxes castor"
"111","Animalia","Arthropoda","Insecta","Lepidoptera","Limacodidae","Parasa","Parasa latistriga"
"112","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Junonia","Junonia orithya"
"113","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Charaxes","Charaxes varanes"
"114","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","Acherontia","Acherontia atropos"
"115","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Cassionympha","Cassionympha cassius"
"116","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Audea","Audea fumata"
"117","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Conolophia","Conolophia conscitaria"
"118","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Colocleora","Colocleora divisaria"
"119","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Mycalesis","Mycalesis rhacotis"
"120","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Xanthorhoe","Xanthorhoe exorista"
"121","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Belenois","Belenois zochalia"
"122","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Eupithecia","Eupithecia immodica"
"123","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Cosmia","Cosmia polymorpha"
"124","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Pandesma","Pandesma robusta"
"125","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Mythimna","Mythimna tincta"
"126","Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Synclera","Synclera traducalis"
"127","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Tolna","Tolna sypnoides"
"128","Animalia","Arthropoda","Insecta","Lepidoptera","Notodontidae","Catochria","Catochria catocaloides"
"129","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Neptis","Neptis saclava"
"130","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Klugeana","Klugeana philoxalis"
